FID_,Id,ORIG_FID,x,y
,0,111,-84.3807512666,33.6601143583
,0,112,-84.377516496,33.660119918
,0,113,-84.3742817246,33.6601253932
,0,114,-84.3710469523,33.6601307836
,0,115,-84.3678121791,33.6601360895
,0,116,-84.3645774051,33.6601413106
,0,117,-84.3613426303,33.6601464472
,0,118,-84.3581078546,33.6601514991
,0,119,-84.3548730782,33.6601564663
,0,120,-84.3516383009,33.6601613489
,0,121,-84.3484035229,33.6601661469
,0,122,-84.5295608827,33.6624720737
,0,123,-84.526326066,33.662481528
,0,124,-84.5230912479,33.6624908976
,0,125,-84.5198564282,33.6625001826
,0,126,-84.5166216071,33.662509383
,0,127,-84.5133867845,33.6625184987
,0,128,-84.5101519604,33.6625275297
,0,129,-84.506917135,33.6625364761
,0,130,-84.3969323115,33.6627902865
,0,131,-84.3936974443,33.66279627
,0,132,-84.3904625762,33.662802169
,0,133,-84.3872277071,33.6628079833
,0,134,-84.3839928371,33.6628137129
,0,135,-84.3807579663,33.6628193579
,0,136,-84.3775230945,33.6628249182
,0,137,-84.3742882218,33.6628303939
,0,138,-84.3710533483,33.6628357849
,0,139,-84.3678184739,33.6628410913
,0,140,-84.3645835986,33.662846313
,0,141,-84.3613487226,33.6628514501
,0,142,-84.3581138457,33.6628565025
,0,143,-84.354878968,33.6628614702
,0,144,-84.3516440896,33.6628663533
,0,145,-84.3484092103,33.6628711518
,0,146,-84.5263373224,33.665186492
,0,147,-84.523102403,33.6651958626
,0,148,-84.5198674821,33.6652051486
,0,149,-84.5166325597,33.6652143499
,0,150,-84.5133976359,33.6652234665
,0,151,-84.5101627106,33.6652324985
,0,152,-84.5069277839,33.6652414458
,0,153,-84.5036928558,33.6652503084
,0,154,-84.5004579262,33.6652590864
,0,155,-84.4972229953,33.6652677798
,0,156,-84.493988063,33.6652763884
,0,157,-84.4907531293,33.6652849125
,0,158,-84.3969395183,33.6654952819
,0,159,-84.3937045499,33.6655012661
,0,160,-84.3904695805,33.6655071657
,0,161,-84.3872346102,33.6655129805
,0,162,-84.383999639,33.6655187108
,0,163,-84.3807646668,33.6655243563
,0,164,-84.3775296938,33.6655299172
,0,165,-84.3742947199,33.6655353934
,0,166,-84.3710597451,33.665540785
,0,167,-84.3678247695,33.6655460919
,0,168,-84.364589793,33.6655513142
,0,169,-84.3613548157,33.6655564518
,0,170,-84.3581198376,33.6655615047
,0,171,-84.3548848587,33.6655664729
,0,172,-84.351649879,33.6655713565
,0,173,-84.3484148985,33.6655761554
,0,174,-84.5263485803,33.6678914549
,0,175,-84.5231135596,33.6679008265
,0,176,-84.5198785375,33.6679101133
,0,177,-84.5166435138,33.6679193156
,0,178,-84.5134084888,33.6679284331
,0,179,-84.5101734622,33.667937466
,0,180,-84.5069384343,33.6679464142
,0,181,-84.5037034049,33.6679552778
,0,182,-84.5004683741,33.6679640567
,0,183,-84.4972333419,33.6679727509
,0,184,-84.4939983083,33.6679813604
,0,185,-84.4907632734,33.6679898853
,0,186,-84.3969467261,33.6682002762
,0,187,-84.3937116564,33.668206261
,0,188,-84.3904765858,33.6682121612
,0,189,-84.3872415142,33.6682179766
,0,190,-84.3840064417,33.6682237074
,0,191,-84.3807713683,33.6682293536
,0,192,-84.377536294,33.668234915
,0,193,-84.3743012189,33.6682403918
,0,194,-84.3710661428,33.6682457839
,0,195,-84.3678310659,33.6682510914
,0,196,-84.3645959882,33.6682563142
,0,197,-84.3613609096,33.6682614523
,0,198,-84.3581258303,33.6682665057
,0,199,-84.3548907501,33.6682714744
,0,200,-84.3516556691,33.6682763585
,0,201,-84.3484205874,33.668281158
,0,202,-84.5263598396,33.6705964166
,0,203,-84.5231247177,33.6706057891
,0,204,-84.5198895943,33.6706150769
,0,205,-84.5166544694,33.6706242801
,0,206,-84.5134193431,33.6706333986
,0,207,-84.5101842153,33.6706424324
,0,208,-84.5069490861,33.6706513815
,0,209,-84.5037139554,33.6706602459
,0,210,-84.5004788233,33.6706690257
,0,211,-84.4972436899,33.6706777208
,0,212,-84.4940085551,33.6706863313
,0,213,-84.4907734189,33.670694857
,0,214,-84.3969539348,33.6709052693
,0,215,-84.3937187638,33.6709112547
,0,216,-84.3904835919,33.6709171555
,0,217,-84.3872484191,33.6709229715
,0,218,-84.3840132454,33.6709287029
,0,219,-84.3807780707,33.6709343496
,0,220,-84.3775428951,33.6709399116
,0,221,-84.3743077187,33.670945389
,0,222,-84.3710725414,33.6709507817
,0,223,-84.3678373632,33.6709560896
,0,224,-84.3646021842,33.6709613129
,0,225,-84.3613670044,33.6709664516
,0,226,-84.3581318238,33.6709715055
,0,227,-84.3548966423,33.6709764748
,0,228,-84.3516614601,33.6709813594
,0,229,-84.3484262771,33.6709861593
,0,230,-84.536076761,33.6732727486
,0,231,-84.5328415423,33.6732823761
,0,232,-84.5296063222,33.6732919189
,0,233,-84.5263711005,33.6733013771
,0,234,-84.5231358773,33.6733107505
,0,235,-84.5199006526,33.6733200393
,0,236,-84.5166654264,33.6733292434
,0,237,-84.5134301988,33.6733383628
,0,238,-84.5101949698,33.6733473975
,0,239,-84.5069597393,33.6733563476
,0,240,-84.5037245073,33.6733652129
,0,241,-84.500489274,33.6733739936
,0,242,-84.4972540393,33.6733826896
,0,243,-84.4940188032,33.6733913009
,0,244,-84.4907835657,33.6733998275
,0,245,-84.4875483268,33.6734082695
,0,246,-84.4196080224,33.6735659877
,0,247,-84.4163727572,33.6735725666
,0,248,-84.4131374909,33.6735790607
,0,249,-84.4099022236,33.6735854702
,0,250,-84.4066669553,33.673591795
,0,251,-84.403431686,33.6735980351
,0,252,-84.4001964157,33.6736041905
,0,253,-84.3969611445,33.6736102612
,0,254,-84.3937258722,33.6736162472
,0,255,-84.3904905991,33.6736221486
,0,256,-84.3872553249,33.6736279652
,0,257,-84.3840200499,33.6736336972
,0,258,-84.380784774,33.6736393445
,0,259,-84.3775494971,33.6736449071
,0,260,-84.3743142194,33.673650385
,0,261,-84.3710789408,33.6736557782
,0,262,-84.3678436614,33.6736610867
,0,263,-84.3646083811,33.6736663106
,0,264,-84.3613731,33.6736714497
,0,265,-84.358137818,33.6736765042
,0,266,-84.3549025353,33.6736814739
,0,267,-84.3516672518,33.673686359
,0,268,-84.3484319675,33.6736911594
,0,269,-84.5360883272,33.675977705
,0,270,-84.5328530073,33.6759873334
,0,271,-84.5296176858,33.6759968772
,0,272,-84.5263823628,33.6760063363
,0,273,-84.5231470384,33.6760157108
,0,274,-84.5199117124,33.6760250005
,0,275,-84.5166763849,33.6760342055
,0,276,-84.513441056,33.6760433259
,0,277,-84.5102057257,33.6760523615
,0,278,-84.5069703939,33.6760613125
,0,279,-84.5037350607,33.6760701787
,0,280,-84.500499726,33.6760789603
,0,281,-84.49726439,33.6760876572
,0,282,-84.4940290526,33.6760962693
,0,283,-84.4907937138,33.6761047968
,0,284,-84.4875583737,33.6761132396
,0,285,-84.4196159421,33.6762709739
,0,286,-84.4163805756,33.6762775535
,0,287,-84.4131452081,33.6762840483
,0,288,-84.4099098395,33.6762904584
,0,289,-84.4066744699,33.6762967838
,0,290,-84.4034390993,33.6763030245
,0,291,-84.4002037277,33.6763091806
,0,292,-84.3969683551,33.6763152519
,0,293,-84.3937329816,33.6763212386
,0,294,-84.3904976071,33.6763271405
,0,295,-84.3872622317,33.6763329577
,0,296,-84.3840268554,33.6763386903
,0,297,-84.3807914781,33.6763443382
,0,298,-84.3775561,33.6763499013
,0,299,-84.374320721,33.6763553798
,0,300,-84.3710853411,33.6763607735
,0,301,-84.3678499603,33.6763660826
,0,302,-84.3646145788,33.676371307
,0,303,-84.3613791964,33.6763764466
,0,304,-84.3581438131,33.6763815016
,0,305,-84.3549084291,33.6763864719
,0,306,-84.3516730443,33.6763913575
,0,307,-84.3484376587,33.6763961584
,0,308,-84.536099895,33.6786826601
,0,309,-84.5328644738,33.6786922896
,0,310,-84.529629051,33.6787018344
,0,311,-84.5263936267,33.6787112945
,0,312,-84.5231582009,33.6787206698
,0,313,-84.5199227737,33.6787299605
,0,314,-84.5166873449,33.6787391665
,0,315,-84.5134519147,33.6787482877
,0,316,-84.510216483,33.6787573243
,0,317,-84.5069810499,33.6787662762
,0,318,-84.5037456154,33.6787751433
,0,319,-84.5005101795,33.6787839258
,0,320,-84.4972747422,33.6787926235
,0,321,-84.4940393034,33.6788012366
,0,322,-84.4908038634,33.6788097649
,0,323,-84.4875684219,33.6788182086
,0,324,-84.4163883951,33.6789825392
,0,325,-84.4131529262,33.6789890346
,0,326,-84.4099174563,33.6789954454
,0,327,-84.4066819854,33.6790017715
,0,328,-84.4034465135,33.6790080128
,0,329,-84.4002110406,33.6790141695
,0,330,-84.3969755667,33.6790202414
,0,331,-84.3937400919,33.6790262287
